,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
0,gitbucket,gitbucket/gitbucket,development-cycle,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2023-09-06 22:45:23,2023-09-06 22:45:23,5777,43.0,1243.0,465,1618.0,332.0,1430.0,8958,2023-04-28 16:52:14,4.39.0,755823.0,6572.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",13.0,13.0,197.0,34,True,1,1.0,,,,,
1,sbt,sbt/sbt,development-cycle,https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2023-09-07 13:23:20,2023-09-07 13:23:20,11866,65.0,924.0,174,3134.0,774.0,3335.0,4687,2023-08-25 01:32:58,1.9.4,11242484.0,160606.0,100.0,"sbt, the interactive build tool.",,,403.0,33,True,1,,['scala3'],,,,
2,bigdl,intel-analytics/bigdl,sci,https://github.com/intel-analytics/BigDL,https://github.com/intel-analytics/BigDL,Apache-2.0,2016-08-29 07:59:50,2023-09-07 16:45:11,2023-09-07 15:56:36,20383,447.0,1123.0,237,7096.0,799.0,1222.0,4342,2023-04-24 02:17:43,2.3.0,,,18.0,Accelerating LLM with low-bit (INT3/INT4/NF4/INT5/INT8) optimizations using bigdl-llm.,45.0,45.0,179.0,33,True,1,,,,,,
3,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2023-08-29 10:08:44,2023-08-28 12:32:15,13105,167.0,4120.0,644,8126.0,451.0,3281.0,12431,2023-07-21 15:23:56,2.8.20,,,59.0,Play Framework.,34.0,13.0,959.0,32,True,1,,"['scala3', 'scalajs']",com.typesafe.play:play_3,https://search.maven.org/artifact/com.typesafe.play/play_3,2023-08-21 12:52:54,21.0
4,zio,zio/zio,toolkits,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2023-09-07 15:57:01,2023-09-01 13:45:51,7287,116.0,1196.0,113,5939.0,373.0,2023.0,3872,2023-08-21 15:30:03,2.0.16,,,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",874.0,,672.0,32,True,1,,"['scala3', 'scalajs']",dev.zio:zio_2.13,https://search.maven.org/artifact/dev.zio/zio_2.13,2023-08-21 15:30:03,874.0
5,akka,akka/akka,distributed,https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2023-09-07 08:24:18,2023-09-07 08:24:18,26786,64.0,3630.0,586,11505.0,928.0,7074.0,12772,2023-08-15 13:17:42,2.8.4,,,42.0,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM.",13.0,13.0,1049.0,30,False,1,,['scala3'],,,,
6,spark,apache/spark,bigdata,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2023-09-07 18:26:21,2023-09-07 14:44:44,38018,1024.0,27668.0,2044,42821.0,262.0,,36642,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,2935.0,29,True,1,,,,,,
7,kafka,apache/kafka,distributed,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2023-09-07 17:37:11,2023-09-07 17:12:07,11638,381.0,12963.0,1077,14350.0,1071.0,,25778,,,,,,Mirror of Apache Kafka.,17.0,17.0,1277.0,29,True,1,,,,,,
8,flink,apache/flink,bigdata,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2023-09-07 16:27:14,2023-09-07 16:27:14,33990,557.0,12265.0,945,23358.0,1030.0,,21914,,,,,,Apache Flink.,13.0,13.0,1769.0,29,True,1,,,,,,
9,spark-nlp,johnsnowlabs/spark-nlp,sci,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2023-09-07 16:47:55,2023-09-06 13:27:44,8316,69.0,666.0,99,12984.0,39.0,775.0,3416,2023-08-28 15:04:14,5.1.0,,,100.0,State of the Art Natural Language Processing.,339.0,339.0,108.0,29,True,1,,,,,,
10,mill,com-lihaoyi/mill,development-cycle,https://github.com/com-lihaoyi/mill,https://github.com/com-lihaoyi/mill,MIT,2017-10-17 03:43:19,2023-09-07 17:19:02,2023-09-05 09:23:17,3174,79.0,283.0,48,1829.0,102.0,658.0,1900,2023-08-28 04:04:27,0.11.2,1172974.0,17507.0,96.0,Your shiny new Java/Scala build tool!.,,,196.0,29,True,2,,,,,,
11,gatling,gatling/gatling,test,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2023-09-04 08:16:54,2023-09-04 08:04:56,10190,57.0,1170.0,233,813.0,43.0,3601.0,6047,,,,,,Modern Load Testing as Code.,15.0,15.0,225.0,28,True,1,,,,,,
12,circe,circe/circe,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2023-09-06 16:19:18,2023-08-30 22:01:41,2977,25.0,527.0,68,1662.0,197.0,408.0,2426,2023-08-31 00:05:46,0.14.6,,,69.0,Yet another JSON library for Scala.,441.0,,267.0,28,True,1,,"['scala3', 'scalajs']",io.circe:circe-core_2.13,https://search.maven.org/artifact/io.circe/circe-core_2.13,2023-08-31 00:05:46,441.0
13,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2023-09-06 17:52:59,2023-09-06 15:27:28,4114,26.0,294.0,56,1775.0,366.0,711.0,1974,2023-06-19 09:14:09,2.1.5,8782766.0,179240.0,100.0,Pure Scala Artifact Fetching.,,,138.0,28,True,1,,['scalajs'],,,,
14,cats,typelevel/cats,toolkits,https://github.com/typelevel/cats,https://github.com/typelevel/cats,,2015-01-28 20:26:48,2023-09-07 17:12:09,2023-09-07 17:07:17,6638,134.0,1233.0,186,3301.0,224.0,977.0,5017,2023-08-14 02:57:50,2.10.0,,,64.0,"Lightweight, modular, and extensible library for functional programming.",13.0,13.0,543.0,27,False,1,,"['scala3', 'scalajs']",,,,
15,ammonite,com-lihaoyi/ammonite,toolkits,https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,MIT,2015-01-13 07:34:38,2023-09-07 06:42:24,2023-07-18 14:13:38,2733,17.0,367.0,66,573.0,128.0,673.0,2572,2023-06-16 11:15:05,2.5.9,863978.0,10536.0,100.0,Scala Scripting.,,,137.0,27,True,1,,['scala3'],,,,
16,scio,spotify/scio,bigdata,https://github.com/spotify/scio,https://github.com/spotify/scio,Apache-2.0,2015-03-26 19:07:34,2023-09-07 09:13:57,2023-09-05 13:54:34,4964,76.0,506.0,120,3767.0,153.0,1109.0,2475,2023-09-04 09:02:41,0.13.3,10871.0,139.0,100.0,A Scala API for Apache Beam and Google Cloud Dataflow.,,,207.0,27,True,2,,,,,,
17,http4s,http4s/http4s,http,https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2023-09-05 14:18:42,2023-09-05 13:58:42,17112,163.0,777.0,74,5753.0,318.0,1131.0,2449,2023-07-19 21:15:06,0.23.23,,,100.0,"A minimal, idiomatic Scala interface for HTTP.",,,448.0,27,True,1,,"['scala3', 'scalajs']",,,,
18,finagle,twitter/finagle,distributed,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2023-09-06 18:22:19,2023-09-06 18:22:18,8127,2.0,1468.0,563,545.0,62.0,349.0,8703,2022-12-26 14:39:38,finagle-22.12.0,,,82.0,"A fault tolerant, protocol-agnostic RPC system.",13.0,13.0,518.0,26,True,2,,,,,,
19,smile,haifengl/smile,sci,https://github.com/haifengl/smile,https://github.com/haifengl/smile,,2014-11-20 16:28:12,2023-08-17 10:06:43,2023-08-17 10:06:38,3136,37.0,1119.0,272,173.0,11.0,567.0,5809,2023-06-14 12:20:00,3.0.2,10832.0,120.0,25.0,Statistical Machine Intelligence & Learning Engine.,13.0,13.0,71.0,26,False,1,,['scala3'],,,,
20,shapeless,milessabin/shapeless,toolkits,https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2023-09-07 07:55:51,2023-09-07 07:55:51,2694,12.0,537.0,107,917.0,34.0,381.0,3341,2022-09-12 22:32:36,2.3.10,,,7.0,Generic programming for Scala.,108.0,108.0,154.0,26,True,1,,"['scala3', 'scalajs']",,,,
21,metals,scalameta/metals,development-cycle,https://github.com/scalameta/metals,https://github.com/scalameta/metals,Apache-2.0,2017-11-03 14:18:53,2023-09-07 16:15:26,2023-09-06 10:55:15,7988,214.0,298.0,47,3758.0,256.0,1399.0,1930,2023-08-28 17:01:25,1.0.1,29.0,0.0,55.0,Scala language server with rich IDE features.,,,172.0,26,True,2,,['scala3'],,,,
22,tapir,softwaremill/tapir,http,https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2023-09-07 12:16:12,2023-09-07 12:15:34,8098,383.0,361.0,51,2445.0,109.0,609.0,1244,2023-08-25 18:29:27,1.7.3,,,100.0,"Declarative, type-safe web endpoints library.",,,254.0,26,True,1,,"['scala3', 'scalajs']",,,,
23,bloop,scalacenter/bloop,development-cycle,https://github.com/scalacenter/bloop,https://github.com/scalacenter/bloop,Apache-2.0,2017-11-11 09:39:34,2023-09-07 07:40:17,2023-09-06 08:24:58,5093,151.0,194.0,29,1418.0,126.0,593.0,853,2023-09-01 15:57:11,1.5.11,161979.0,2382.0,56.0,"Bloop is a build server and CLI tool to compile, test and run Scala fast from any editor or build tool.",,,137.0,26,True,2,,['scalajs'],,,,
24,tinylog,tinylog-org/tinylog,toolkits,https://github.com/tinylog-org/tinylog,https://github.com/tinylog-org/tinylog,Apache-2.0,2012-09-13 11:21:42,2023-09-07 12:37:29,2023-09-05 12:56:14,1173,13.0,74.0,13,316.0,20.0,208.0,623,2023-05-13 21:12:43,2.6.2,26002.0,245.0,78.0,"tinylog is a lightweight logging framework for Java, Kotlin, Scala, and Android.",1192.0,1192.0,19.0,26,True,1,,,,,,
25,scala-cli,VirtusLab/scala-cli,development-cycle,https://github.com/VirtusLab/scala-cli,https://github.com/VirtusLab/scala-cli,Apache-2.0,2021-04-23 10:35:04,2023-09-07 15:02:23,2023-09-01 08:38:33,3590,157.0,88.0,23,1658.0,166.0,508.0,439,2023-08-09 20:13:17,1.0.4,531770.0,21270.0,40.0,"Scala CLI is a command-line tool to interact with the Scala language. It lets you compile, run, test, and package your..",,,65.0,26,True,2,,['scala3'],,,,
26,scala-js,scala-js/scala-js,scala-js,https://github.com/scala-js/scala-js,https://github.com/scala-js/scala-js,Apache-2.0,2013-02-18 16:33:55,2023-08-30 08:01:06,2023-08-30 08:01:05,7133,67.0,389.0,146,2683.0,27.0,2171.0,4477,2023-06-23 07:43:57,1.13.2,,,23.0,"Scala.js, the Scala to JavaScript compiler.",,,102.0,25,True,1,,['scalajs'],,,,
27,fs2,typelevel/fs2,reactive,https://github.com/typelevel/fs2,https://github.com/typelevel/fs2,,2013-03-06 17:34:15,2023-09-07 18:19:08,2023-09-07 12:18:55,9315,197.0,583.0,93,2563.0,93.0,645.0,2257,2023-08-30 21:58:16,3.9.1,,,100.0,"Compositional, streaming I/O library for Scala.",,,306.0,25,False,1,,"['scala3', 'scalajs']",,,,
28,doobie,tpolecat/doobie,db-clients,https://github.com/tpolecat/doobie,https://github.com/tpolecat/doobie,MIT,2013-11-25 07:25:20,2023-09-05 15:42:38,2023-09-05 15:42:38,3345,53.0,345.0,67,1377.0,147.0,383.0,2078,2023-06-20 16:56:18,1.0.0-RC4,,,18.0,Functional JDBC layer for Scala.,,,165.0,25,True,1,,['scala3'],,,,
29,elastic4s,sksamuel/elastic4s,db-clients,https://github.com/sksamuel/elastic4s,https://github.com/sksamuel/elastic4s,Apache-2.0,2013-06-10 20:23:57,2023-08-31 00:41:46,2023-08-24 01:34:41,4722,27.0,689.0,75,1770.0,17.0,1122.0,1632,2023-08-19 01:35:09,8.9.1,,,38.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",,,401.0,25,True,1,,['scala3'],com.sksamuel.elastic4s:elastic4s_2.13,https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,
30,sttp,softwaremill/sttp,http,https://github.com/softwaremill/sttp,https://github.com/softwaremill/sttp,Apache-2.0,2017-06-30 15:15:07,2023-09-06 00:35:44,2023-09-06 00:35:17,5345,188.0,273.0,42,1543.0,52.0,352.0,1392,2023-08-18 13:03:27,4.0.0-M4,,,94.0,The Scala HTTP client you always wanted!.,,,196.0,25,True,2,,"['scala3', 'scalajs']",,,,
31,scalapb,scalapb/scalapb,data,https://github.com/scalapb/ScalaPB,https://github.com/scalapb/ScalaPB,Apache-2.0,2014-10-02 01:11:41,2023-09-06 14:17:17,2023-08-26 05:40:12,2390,18.0,268.0,45,1014.0,16.0,537.0,1263,2023-02-07 04:34:38,0.11.13,411164.0,4894.0,100.0,Protocol buffer compiler for Scala.,,,120.0,25,True,1,,"['scala3', 'scalajs']",,,,
32,eclair,acinq/eclair,others,https://github.com/ACINQ/eclair,https://github.com/ACINQ/eclair,Apache-2.0,2015-08-19 11:47:01,2023-09-07 17:35:24,2023-08-29 07:06:48,2530,25.0,254.0,91,1930.0,43.0,668.0,1166,2023-06-19 08:45:19,0.9.0,43598.0,558.0,37.0,A scala implementation of the Lightning Network.,,,48.0,25,True,1,,,,,,
33,lagom,lagom/lagom,distributed,https://github.com/lagom/lagom,https://github.com/lagom/lagom,Apache-2.0,2016-02-23 01:51:06,2023-08-14 13:43:48,2023-08-14 13:43:48,2427,11.0,633.0,153,2274.0,455.0,642.0,2637,2021-12-14 11:16:46,1.6.7,,,49.0,Reactive Microservices for the JVM.,,,149.0,24,True,2,,,,,,
34,slick,slick/slick,db-clients,https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2023-09-07 08:16:22,2023-09-07 07:18:42,3269,123.0,615.0,148,1422.0,421.0,942.0,2615,2022-09-13 19:27:07,3.4.1,,,17.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,,,202.0,24,True,1,,['scala3'],,,,
35,algebird,twitter/algebird,sci,https://github.com/twitter/algebird,https://github.com/twitter/algebird,Apache-2.0,2012-08-02 17:24:42,2023-09-05 04:02:34,2023-08-26 17:44:51,1883,26.0,348.0,238,902.0,97.0,166.0,2266,2023-07-10 21:51:16,0.13.10,,,30.0,Abstract Algebra for Scala.,,,114.0,24,True,2,,,,,,
36,sangria,sangria-graphql/sangria,others,https://github.com/sangria-graphql/sangria,https://github.com/sangria-graphql/sangria,Apache-2.0,2015-07-05 21:29:30,2023-09-07 12:12:33,2023-09-07 12:07:11,2042,65.0,221.0,60,591.0,60.0,402.0,1954,2023-06-20 17:48:50,4.0.1,,,80.0,Scala GraphQL implementation.,,,64.0,24,True,1,,['scala3'],,,,
37,refined,fthomas/refined,toolkits,https://github.com/fthomas/refined,https://github.com/fthomas/refined,MIT,2015-05-10 16:23:16,2023-09-06 21:30:12,2023-09-06 21:30:12,3101,43.0,154.0,27,1006.0,70.0,149.0,1640,2023-06-16 17:05:18,0.11.0,,,68.0,Refinement types for Scala.,,,77.0,24,True,2,,"['scala3', 'scalajs']",,,,
38,scalameta,scalameta/scalameta,toolkits,https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2023-09-07 15:00:28,2023-09-07 15:00:28,7936,202.0,215.0,41,2151.0,140.0,1036.0,1053,2023-08-31 15:45:10,4.8.10,,,100.0,"Library to read, analyze, transform and generate Scala programs.",2.0,2.0,116.0,24,True,2,,['scalajs'],,,,
39,zeppelin,apache/zeppelin,sci,https://github.com/apache/zeppelin,https://github.com/apache/zeppelin,Apache-2.0,2015-03-25 07:00:06,2023-09-01 08:36:00,2023-09-01 08:36:00,5273,24.0,2758.0,323,4641.0,141.0,,6135,,,,,,"Web-based notebook that enables data-driven, interactive data analytics and collaborative documents with SQL, Scala..",13.0,13.0,525.0,23,True,2,,,,,,
40,quill,zio/zio-quill,db-clients,https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2023-09-07 05:27:42,2023-09-07 05:27:42,3431,52.0,347.0,66,1816.0,348.0,722.0,2131,2023-06-24 09:14:02,4.6.1,,,1.0,Compile-time Language Integrated Queries for Scala.,,,143.0,23,True,1,,"['zio', 'scala3', 'scalajs']",,,,
41,giter8,foundweekends/giter8,development-cycle,https://github.com/foundweekends/giter8,https://github.com/foundweekends/giter8,Apache-2.0,2010-08-10 04:08:48,2023-09-07 14:11:36,2023-09-07 14:11:35,1303,20.0,229.0,72,561.0,44.0,228.0,1715,2023-05-02 05:25:32,0.16.2,,,17.0,a command line tool to apply templates defined on GitHub.,,,82.0,23,True,3,,,,,,
42,akka-http,akka/akka-http,http,https://github.com/akka/akka-http,https://github.com/akka/akka-http,,2016-08-19 11:33:36,2023-09-06 13:12:10,2023-09-06 12:50:11,4396,18.0,603.0,73,2360.0,569.0,1369.0,1332,2023-05-05 09:13:49,10.5.2,,,57.0,The Streaming-first HTTP server/module of Akka.,,,354.0,23,False,2,,['scala3'],,,,
43,scalikejdbc,scalikejdbc/scalikejdbc,db-clients,https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2023-09-05 03:57:05,2023-09-05 03:56:47,3233,38.0,225.0,60,1565.0,27.0,449.0,1248,2021-10-31 01:07:09,4.0.0,,,46.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,7.0,,104.0,23,True,1,,['scala3'],org.scalikejdbc:scalikejdbc_2.13,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,2021-10-31 00:52:48,7.0
44,scalatest,scalatest/scalatest,test,https://github.com/scalatest/scalatest,https://github.com/scalatest/scalatest,Apache-2.0,2013-04-07 21:55:49,2023-09-07 13:30:03,2023-09-05 04:47:33,6461,84.0,338.0,54,1514.0,512.0,329.0,1114,2023-05-15 13:46:58,release-3.2.16,,,38.0,A testing tool for Scala and Java developers.,,,64.0,23,True,1,,"['scala3', 'scalajs']",,,,
45,nussknacker,touk/nussknacker,bigdata,https://github.com/TouK/nussknacker,https://github.com/TouK/nussknacker,Apache-2.0,2017-06-29 14:09:57,2023-09-07 14:23:37,2023-09-07 07:43:00,5456,221.0,85.0,32,4211.0,73.0,372.0,485,2023-08-25 14:20:57,1.11.1,302.0,4.0,36.0,Low-code tool for automating actions on real time data | Stream processing for the users.,,,68.0,23,True,2,,,,,,
46,scalding,twitter/scalding,bigdata,https://github.com/twitter/scalding,https://github.com/twitter/scalding,Apache-2.0,2012-01-10 16:22:08,2023-05-28 19:18:59,2023-05-28 19:18:59,4195,,701.0,326,1384.0,317.0,329.0,3453,2017-12-22 20:23:36,0.17.4,,,17.0,A Scala API for Cascading.,,,212.0,22,True,2,,,,,,
47,scalacheck,typelevel/scalacheck,test,https://github.com/typelevel/scalacheck,https://github.com/typelevel/scalacheck,BSD-3-Clause,2011-05-26 11:44:12,2023-09-05 12:12:41,2023-08-04 12:49:40,2039,37.0,401.0,57,665.0,60.0,286.0,1890,2022-09-15 23:24:43,1.17.0,,,10.0,Property-based testing for Scala.,,,135.0,22,True,2,-1.0,"['scala3', 'scalajs']",,,,
48,spire,typelevel/spire,sci,https://github.com/typelevel/spire,https://github.com/typelevel/spire,MIT,2011-11-03 20:52:53,2023-09-05 12:13:30,2023-06-27 15:12:29,2970,10.0,247.0,68,878.0,129.0,268.0,1738,2022-06-17 15:55:07,0.18.0,,,4.0,Powerful new number types and numeric abstractions for Scala.,,,104.0,22,True,2,,"['scala3', 'scalajs']",,,,
49,Monocle,optics-dev/monocle,toolkits,https://github.com/optics-dev/Monocle,https://github.com/optics-dev/Monocle,MIT,2014-01-17 19:49:22,2023-08-26 01:53:27,2023-08-26 01:33:30,2135,19.0,202.0,52,1004.0,45.0,331.0,1601,2023-01-03 14:12:47,3.2.0,,,9.0,Optics library for Scala.,,,125.0,22,True,2,,"['scala3', 'scalajs']",,,,
50,finch,finagle/finch,http,https://github.com/finagle/finch,https://github.com/finagle/finch,Apache-2.0,2014-04-15 12:17:44,2023-09-07 06:42:22,2023-09-07 06:42:22,2286,26.0,226.0,62,1233.0,42.0,369.0,1596,2022-09-16 18:19:38,0.34.0,,,61.0,Scala combinator library for building Finagle HTTP services.,,,128.0,22,True,2,,,,,,
51,sbt-native-packager,sbt/sbt-native-packager,sbt,https://github.com/sbt/sbt-native-packager,https://github.com/sbt/sbt-native-packager,BSD-2-Clause,2011-12-20 02:04:49,2023-08-06 08:41:44,2023-07-24 08:48:26,1695,3.0,440.0,57,751.0,132.0,651.0,1574,2023-02-20 17:55:37,1.9.16,,,100.0,sbt Native Packager.,,,270.0,22,True,1,,,,,,
52,skunk,typelevel/skunk,db-clients,https://github.com/typelevel/skunk,https://github.com/typelevel/skunk,MIT,2018-09-21 06:46:41,2023-09-05 13:28:17,2023-08-23 12:41:49,1689,118.0,147.0,31,840.0,85.0,60.0,1487,2023-05-31 12:01:22,0.6.0,,,27.0,A data access library for Scala + Postgres.,,,68.0,22,True,2,,"['scala3', 'scalajs']",,,,
53,spark-testing-base,holdenk/spark-testing-base,test,https://github.com/holdenk/spark-testing-base,https://github.com/holdenk/spark-testing-base,Apache-2.0,2015-01-30 22:23:59,2023-08-29 17:52:57,2023-05-02 22:49:17,751,,359.0,81,190.0,101.0,118.0,1454,2023-04-25 21:17:13,1.4.3,,,4.0,Base classes to use when writing tests with Spark.,35.0,35.0,60.0,22,True,2,,,,,,
54,scalafix,scalacenter/scalafix,development-cycle,https://github.com/scalacenter/scalafix,https://github.com/scalacenter/scalafix,BSD-3-Clause,2016-08-08 11:45:19,2023-09-02 23:50:25,2023-09-02 23:46:45,3348,102.0,173.0,31,1215.0,71.0,576.0,760,2023-06-03 15:04:49,0.11.0,35.0,0.0,68.0,Refactoring and linting tool for Scala.,,,104.0,22,True,3,,['scalajs'],,,,
55,izumi,7mind/izumi,di,https://github.com/7mind/izumi,https://github.com/7mind/izumi,BSD-2-Clause,2017-11-03 10:39:42,2023-09-06 12:44:06,2023-09-01 18:47:24,4370,83.0,56.0,21,1503.0,63.0,387.0,583,2023-08-31 13:59:45,1.1.0-M27,,,75.0,Productivity-oriented collection of lightweight fancy stuff for Scala toolchain.,,,31.0,22,True,1,,"['scala3', 'scalajs']",,,,
56,argonaut,argonaut-io/argonaut,json,https://github.com/argonaut-io/argonaut,https://github.com/argonaut-io/argonaut,BSD-3-Clause,2012-12-09 12:11:48,2023-09-06 03:49:30,2023-09-06 03:49:29,1623,18.0,112.0,25,585.0,27.0,168.0,544,2022-01-20 23:50:14,6.3.8,,,14.0,Purely functional JSON parser and library in scala.,15.0,,59.0,22,True,1,,"['scala3', 'scalajs']",io.argonaut:argonaut_2.13,https://search.maven.org/artifact/io.argonaut/argonaut_2.13,2022-01-20 23:50:14,15.0
57,spark-notebook,spark-notebook/spark-notebook,sci,https://github.com/spark-notebook/spark-notebook,https://github.com/spark-notebook/spark-notebook,Apache-2.0,2014-09-05 19:35:25,2023-05-16 16:06:37,2021-03-30 08:57:25,2326,,659.0,190,484.0,208.0,307.0,3146,2017-07-23 14:44:02,0.8.3,,,18.0,Interactive and Reactive Data Science using Scala and Spark.,,,84.0,21,False,2,,,,,,
58,spray-json,spray/spray-json,json,https://github.com/spray/spray-json,https://github.com/spray/spray-json,Apache-2.0,2011-05-06 21:31:38,2022-09-15 12:08:33,2021-12-09 19:21:31,331,,582.0,37,154.0,97.0,116.0,2542,2020-11-11 13:05:44,1.3.6,,,3.0,"A lightweight, clean and simple JSON implementation in Scala.",183.0,145.0,48.0,21,False,2,,,io.spray:spray-json_2.13,https://search.maven.org/artifact/io.spray/spray-json_2.13,2020-11-10 13:18:28,38.0
59,finatra,twitter/finatra,web-frameworks,https://github.com/twitter/finatra,https://github.com/twitter/finatra,Apache-2.0,2012-02-16 23:55:29,2023-05-25 14:50:18,2023-05-09 19:18:19,2645,,416.0,217,265.0,12.0,309.0,2267,2022-12-26 14:40:15,finatra-22.12.0,,,92.0,"Fast, testable, Scala services built on TwitterServer and Finagle.",,,252.0,21,True,1,,,,,,
60,monix,monix/monix,reactive,https://github.com/monix/monix,https://github.com/monix/monix,Apache-2.0,2014-01-06 12:56:07,2023-08-25 23:22:27,2023-05-03 07:29:20,1686,,245.0,62,1093.0,82.0,577.0,1906,2022-05-07 18:40:42,3.4.1,,,15.0,"Asynchronous, Reactive Programming for Scala and Scala.js.",,,105.0,21,True,1,,"['scala3', 'scalajs']",,,,
61,alpakka-kafka,akka/alpakka-kafka,bigdata,https://github.com/akka/alpakka-kafka,https://github.com/akka/alpakka-kafka,,2014-12-30 15:30:02,2023-09-05 13:04:21,2023-09-05 13:04:21,1775,20.0,400.0,78,1141.0,110.0,427.0,1410,2023-04-17 10:24:16,4.0.2,,,59.0,"Alpakka Kafka connector - Alpakka is a Reactive Enterprise Integration library for Java and Scala, based on Reactive..",,,130.0,21,False,2,,['scala3'],,,,
62,pureconfig,pureconfig/pureconfig,others,https://github.com/pureconfig/pureconfig,https://github.com/pureconfig/pureconfig,MPL-2.0,2015-08-29 17:05:50,2023-09-07 04:14:41,2023-08-29 22:48:28,2058,47.0,168.0,21,1279.0,45.0,247.0,1408,,,,,,A boilerplate-free library for loading configuration files.,,,85.0,21,True,1,,['scala3'],,,,
63,framework,lift/framework,web-frameworks,https://github.com/lift/framework,https://github.com/lift/framework,Apache-2.0,2011-01-26 13:25:28,2023-04-11 14:56:45,2023-04-11 14:56:45,3932,,276.0,104,530.0,147.0,1324.0,1269,2021-10-08 15:12:09,3.5.0-release,,,52.0,Lift Framework.,,,118.0,21,True,1,,,,,,
64,scrimage,sksamuel/scrimage,media,https://github.com/sksamuel/scrimage,https://github.com/sksamuel/scrimage,Apache-2.0,2013-06-03 16:40:25,2023-08-12 08:19:26,2023-08-12 08:18:43,1293,10.0,135.0,46,85.0,5.0,186.0,982,2023-08-12 15:37:18,4.0.39,,,28.0,"Java, Scala and Kotlin image processing library.",,,55.0,21,True,1,,,,,,
65,bootzooka,softwaremill/bootzooka,others,https://github.com/softwaremill/bootzooka,https://github.com/softwaremill/bootzooka,Apache-2.0,2012-10-19 07:54:05,2023-09-02 00:07:54,2023-09-02 00:07:26,3281,127.0,152.0,60,1023.0,12.0,102.0,695,2022-07-27 13:33:11,1.0.4,,,4.0,"Simple project to quickly start developing a Scala-based microservice or web application, without the need to write..",,,63.0,21,True,1,,,,,,
66,sbt-scoverage,scoverage/sbt-scoverage,sbt,https://github.com/scoverage/sbt-scoverage,https://github.com/scoverage/sbt-scoverage,Apache-2.0,2014-05-16 00:58:21,2023-09-07 06:45:57,2023-09-01 06:14:54,747,13.0,149.0,28,250.0,36.0,219.0,629,2023-06-03 10:52:35,2.0.8,,,36.0,sbt plugin for scoverage.,,,71.0,21,True,1,,,,,,
