,name,github_id,category,homepage,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,show,projectrank_placing,maven_id,labels,dependent_project_count,github_dependent_project_count,maven_url,maven_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,maven_dependent_project_count,trending
0,spark,apache/spark,bigdata,https://github.com/apache/spark,3528.0,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2026-07-23 10:47:03,24,29289.0,446.0,43674.0,Apache Spark - A unified analytics engine for large-scale data processing.,True,1.0,,,,,,,,,,,
1,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,993.0,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08.000,2026-06-02 15:32:58,23,4031.0,492.0,12620.0,The Community Maintained High Velocity Web Framework For Java and Scala.,True,1.0,com.typesafe.play:play_3,"['scala3', 'scalajs']",92.0,24.0,https://search.maven.org/artifact/com.typesafe.play/play_3,2026-05-21 04:58:30,2026-05-21 04:58:30,2.9.11,21.0,68.0,
2,cats,typelevel/cats,toolkits,https://github.com/typelevel/cats,575.0,https://github.com/typelevel/cats,,2015-01-28 20:26:48.000,2026-07-13 21:10:16,23,1245.0,281.0,5454.0,"Lightweight, modular, and extensible library for functional programming.",False,1.0,,"['scala3', 'scalajs']",23.0,23.0,,,,,,,
3,zio,zio/zio,toolkits,https://github.com/zio/zio,760.0,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37.000,2026-06-16 01:14:16,23,1593.0,192.0,4386.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",True,1.0,dev.zio:zio_2.13,"['scala3', 'scalajs']",1376.0,,https://search.maven.org/artifact/dev.zio/zio_2.13,2026-05-06 11:08:00,2026-05-06 11:08:00,2.1.26,110.0,1376.0,
4,flink,apache/flink,bigdata,https://github.com/apache/flink,2117.0,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10.000,2026-06-26 06:42:13,22,13971.0,356.0,26117.0,Apache Flink.,True,1.0,,,24.0,24.0,,,,,,,
5,scala-js,scala-js/scala-js,scala-js,https://github.com/scala-js/scala-js,108.0,https://github.com/scala-js/scala-js,Apache-2.0,2013-02-18 16:33:55.000,2026-06-21 07:33:25,22,404.0,54.0,4705.0,"Scala.js, the Scala to JavaScript compiler.",True,1.0,,['scalajs'],,,,,,,,,
6,circe,circe/circe,json,https://github.com/circe/circe,302.0,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09.000,2026-07-07 14:15:20,22,545.0,125.0,2541.0,Yet another JSON library for Scala.,True,1.0,io.circe:circe-core_2.13,"['scala3', 'scalajs']",998.0,,https://search.maven.org/artifact/io.circe/circe-core_2.13,2026-06-24 16:34:49,2026-06-24 16:34:49,0.14.16,38.0,998.0,
7,scalatest,scalatest/scalatest,test,https://github.com/scalatest/scalatest,71.0,https://github.com/scalatest/scalatest,Apache-2.0,2013-04-07 21:55:49.000,2026-03-26 13:13:39,22,336.0,542.0,1167.0,A testing tool for Scala and Java developers.,True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
8,http4s,http4s/http4s,http,https://github.com/http4s/http4s,490.0,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20.000,2026-07-14 17:22:05,21,812.0,377.0,2620.0,"A minimal, idiomatic Scala interface for HTTP.",True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
9,specs2,etorreborre/specs2,test,https://github.com/etorreborre/specs2,99.0,https://github.com/etorreborre/specs2,,2010-09-03 01:55:10.000,2026-06-24 17:37:31,21,213.0,,733.0,Software Specifications for Scala.,False,1.0,,"['scala3', 'scalajs']",,,,,,,,,
10,kafka,apache/kafka,distributed,https://github.com/apache/kafka,1715.0,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16.000,2026-07-23 05:04:00,20,15372.0,460.0,33308.0,Apache Kafka - A distributed event streaming platform.,True,1.0,,,28.0,28.0,,,,,,,
11,finagle,twitter/finagle,distributed,https://github.com/twitter/finagle,536.0,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09.000,2026-02-02 16:11:45,20,1444.0,66.0,8874.0,"A fault tolerant, protocol-agnostic RPC system.",True,1.0,,,24.0,24.0,,,,,,,
12,sbt,sbt/sbt,development-cycle,https://github.com/sbt/sbt,564.0,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14.000,2026-07-23 06:47:12,20,1037.0,485.0,4936.0,"sbt, the interactive build tool.",True,1.0,,['scala3'],,,,,,,,,
13,ammonite,com-lihaoyi/ammonite,toolkits,https://github.com/com-lihaoyi/ammonite,148.0,https://github.com/com-lihaoyi/ammonite,MIT,2015-01-13 07:34:38.000,2026-06-22 01:22:39,20,368.0,164.0,2634.0,Scala Scripting.,True,1.0,,['scala3'],,,,,,,,,
14,fs2,typelevel/fs2,reactive,https://github.com/typelevel/fs2,342.0,https://github.com/typelevel/fs2,,2013-03-06 17:34:15.000,2026-07-15 14:47:39,20,631.0,145.0,2449.0,"Compositional, streaming I/O library for Scala.",False,1.0,,"['scala3', 'scalajs']",,,,,,,,,
15,scalacheck,typelevel/scalacheck,test,https://github.com/typelevel/scalacheck,147.0,https://github.com/typelevel/scalacheck,BSD-3-Clause,2011-05-26 11:44:12.000,2025-09-08 23:47:45,20,403.0,63.0,1951.0,Property-based testing for Scala.,True,2.0,,"['scala3', 'scalajs']",,,,,,,,,
16,munit,scalameta/munit,test,https://github.com/scalameta/munit,74.0,https://github.com/scalameta/munit,Apache-2.0,2020-01-03 00:01:20.000,2026-07-14 14:03:25,20,107.0,43.0,470.0,Scala testing library with actionable errors and extensible APIs.,True,2.0,,"['scala3', 'scalajs']",,,,,,,,,
17,scalaz,scalaz/scalaz,toolkits,https://github.com/scalaz/scalaz,249.0,https://github.com/scalaz/scalaz,,2010-01-16 06:18:51.000,2026-07-23 00:08:53,19,697.0,154.0,4669.0,Principled Functional Programming in Scala.,False,1.0,,"['scala3', 'scalajs']",,,,,,,,,
18,mill,com-lihaoyi/mill,development-cycle,https://github.com/com-lihaoyi/mill,330.0,https://github.com/com-lihaoyi/mill,MIT,2017-10-17 03:43:19.000,2026-07-03 16:00:35,19,442.0,244.0,2766.0,"A better build tool for Java, Scala and Kotlin: Simpler than Maven, easier than Gradle, with 3-7x faster dev workflows..",True,1.0,,,,,,,,,,,
19,util,twitter/util,toolkits,https://github.com/twitter/util,329.0,https://github.com/twitter/util,Apache-2.0,2011-03-26 01:23:21.000,2025-12-08 14:10:27,18,577.0,15.0,2723.0,Wonderful reusable code from Twitter.,True,2.0,,['scala3'],,,,,,,,,
20,slick,slick/slick,db-clients,https://github.com/slick/slick,213.0,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53.000,2026-06-01 18:22:29,18,613.0,423.0,2668.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,True,1.0,,['scala3'],,,,,,,,,
21,scalatra,scalatra/scalatra,web-frameworks,https://github.com/scalatra/scalatra,138.0,https://github.com/scalatra/scalatra,,2009-05-31 09:20:32.000,2026-07-13 04:27:53,18,335.0,72.0,2648.0,"Tiny Scala high-performance, async web framework, inspired by Sinatra.",False,1.0,,['scala3'],,,,,,,,,
22,Monocle,optics-dev/monocle,toolkits,https://github.com/optics-dev/monocle,129.0,https://github.com/optics-dev/monocle,MIT,2014-01-17 19:49:22.000,2026-06-30 20:29:11,18,208.0,54.0,1696.0,Optics library for Scala.,True,2.0,,"['scala3', 'scalajs']",,,,,,,,,
23,sttp,softwaremill/sttp,http,https://github.com/softwaremill/sttp,241.0,https://github.com/softwaremill/sttp,Apache-2.0,2017-06-30 15:15:07.000,2026-07-14 01:09:02,18,333.0,26.0,1504.0,The Scala HTTP client you always wanted!.,True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
24,tapir,softwaremill/tapir,http,https://github.com/softwaremill/tapir,357.0,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49.000,2026-07-22 15:12:02,18,468.0,162.0,1465.0,Rapid development of self-documenting APIs.,True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
25,akka-http,akka/akka-http,http,https://github.com/akka/akka-http,359.0,https://github.com/akka/akka-http,,2016-08-19 11:33:36.000,2025-10-18 05:24:08,18,594.0,583.0,1343.0,The Streaming-first HTTP server/module of Akka.,False,1.0,,['scala3'],,,,,,,,,
26,framework,lift/framework,web-frameworks,https://github.com/lift/framework,121.0,https://github.com/lift/framework,Apache-2.0,2011-01-26 13:25:28.000,2026-05-17 01:12:03,18,275.0,114.0,1283.0,Lift Framework.,True,1.0,,,,,,,,,,,
27,scalameta,scalameta/scalameta,toolkits,https://github.com/scalameta/scalameta,132.0,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32.000,2026-07-12 14:27:51,18,245.0,91.0,1155.0,"Library to read, analyze, transform and generate Scala programs.",True,2.0,,['scalajs'],3.0,3.0,,,,,,,
28,fastparse,com-lihaoyi/fastparse,parsers,https://github.com/com-lihaoyi/fastparse,55.0,https://github.com/com-lihaoyi/fastparse,MIT,2014-11-29 08:35:28.000,2026-01-14 11:43:59,18,165.0,23.0,1135.0,Writing Fast Parsers Fast in Scala.,True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
29,upickle,com-lihaoyi/upickle,data,https://github.com/com-lihaoyi/upickle,67.0,https://github.com/com-lihaoyi/upickle,MIT,2014-04-23 05:41:08.000,2026-02-27 01:12:20,18,176.0,27.0,762.0,"uPickle: a simple, fast, dependency-free JSON & Binary (MessagePack) serialization library for Scala.",True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
30,unfiltered,unfiltered/unfiltered,web-frameworks,https://github.com/unfiltered/unfiltered,98.0,https://github.com/unfiltered/unfiltered,MIT,2010-05-19 04:00:57.000,2026-05-05 22:12:13,18,111.0,73.0,710.0,A toolkit for servicing HTTP requests in Scala.,True,1.0,,['scala3'],,,,,,,,,
31,airframe,wvlet/airframe,di,https://github.com/wvlet/airframe,74.0,https://github.com/wvlet/airframe,Apache-2.0,2016-08-14 07:00:12.000,2026-07-09 01:20:44,18,68.0,105.0,664.0,Essential Building Blocks for Scala.,True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
32,izumi,7mind/izumi,di,https://github.com/7mind/izumi,35.0,https://github.com/7mind/izumi,BSD-2-Clause,2017-11-03 10:39:42.000,2026-06-16 22:45:50,18,73.0,73.0,628.0,Productivity-oriented collection of lightweight fancy stuff for Scala toolchain.,True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
33,gitbucket,gitbucket/gitbucket,development-cycle,https://github.com/gitbucket/gitbucket,204.0,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35.000,2026-04-23 19:14:09,17,1263.0,329.0,9369.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",True,2.0,,,24.0,24.0,,,,,,,
34,gatling,gatling/gatling,test,https://github.com/gatling/gatling,247.0,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25.000,2026-06-02 15:54:51,17,1208.0,20.0,6911.0,Modern Load Testing as Code.,True,2.0,,,26.0,26.0,,,,,,,
35,spark-nlp,johnsnowlabs/spark-nlp,sci,https://github.com/johnsnowlabs/spark-nlp,116.0,https://github.com/johnsnowlabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44.000,2026-07-20 19:51:10,17,743.0,20.0,4144.0,State of the Art Natural Language Processing.,True,1.0,,,622.0,622.0,,,,,,,
36,breeze,scalanlp/breeze,sci,https://github.com/scalanlp/breeze,147.0,https://github.com/scalanlp/breeze,Apache-2.0,2009-07-08 23:22:52.000,2024-08-29 06:08:38,17,693.0,89.0,3457.0,Breeze is/was a numerical processing library for Scala.,False,1.0,,['scala3'],,,,,,,,,
37,shapeless,milessabin/shapeless,toolkits,https://github.com/milessabin/shapeless,156.0,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38.000,2025-03-02 21:41:46,17,531.0,29.0,3402.0,Generic programming for Scala.,True,2.0,,"['scala3', 'scalajs']",148.0,148.0,,,,,,,
38,scio,spotify/scio,bigdata,https://github.com/spotify/scio,263.0,https://github.com/spotify/scio,Apache-2.0,2015-03-26 19:07:34.000,2026-07-01 19:58:35,17,528.0,147.0,2626.0,A Scala API for Apache Beam and Google Cloud Dataflow.,True,2.0,,,,,,,,,,,
39,spray-json,spray/spray-json,json,https://github.com/spray/spray-json,48.0,https://github.com/spray/spray-json,Apache-2.0,2011-05-06 21:31:38.000,2024-01-10 20:17:55,17,561.0,101.0,2498.0,"A lightweight, clean and simple JSON implementation in Scala.",False,1.0,io.spray:spray-json_2.13,,155.0,,https://search.maven.org/artifact/io.spray/spray-json_2.13,2020-11-10 13:18:28,2020-11-10 13:18:28,1.3.6,2.0,155.0,
40,metals,scalameta/metals,development-cycle,https://github.com/scalameta/metals,263.0,https://github.com/scalameta/metals,Apache-2.0,2017-11-03 14:18:53.000,2026-07-22 14:02:48,17,437.0,298.0,2319.0,Scala language server with rich IDE features.,True,2.0,,['scala3'],,,,,,,,,
41,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,162.0,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53.000,2026-06-23 13:36:43,17,334.0,472.0,2125.0,Pure Scala Artifact Fetching.,True,1.0,,['scalajs'],,,,,,,,,
42,monix,monix/monix,reactive,https://github.com/monix/monix,113.0,https://github.com/monix/monix,Apache-2.0,2014-01-06 12:56:07.000,2026-01-27 12:14:18,17,245.0,120.0,1933.0,"Asynchronous, Reactive Programming for Scala and Scala.js.",True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
43,spire,typelevel/spire,sci,https://github.com/typelevel/spire,106.0,https://github.com/typelevel/spire,MIT,2011-11-03 20:52:53.000,2025-06-07 04:13:00,17,244.0,158.0,1773.0,Powerful new number types and numeric abstractions for Scala.,True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
44,scalajs-react,japgolly/scalajs-react,scala-js,https://github.com/japgolly/scalajs-react,83.0,https://github.com/japgolly/scalajs-react,Apache-2.0,2014-07-03 09:58:42.000,2026-05-19 05:08:12,17,231.0,16.0,1657.0,Facebooks React on Scala.JS.,True,2.0,,"['scala3', 'scalajs']",,,,,,,,,
45,pureconfig,pureconfig/pureconfig,others,https://github.com/pureconfig/pureconfig,94.0,https://github.com/pureconfig/pureconfig,MPL-2.0,2015-08-29 17:05:50.000,2026-03-27 05:15:47,17,181.0,50.0,1535.0,A boilerplate-free library for loading configuration files.,True,1.0,,['scala3'],,,,,,,,,
46,json4s,json4s/json4s,json,https://github.com/json4s/json4s,159.0,https://github.com/json4s/json4s,Apache-2.0,2012-08-23 23:18:46.000,2026-06-21 02:37:44,17,324.0,163.0,1485.0,JSON library.,True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
47,scopt,scopt/scopt,others,https://github.com/scopt/scopt,62.0,https://github.com/scopt/scopt,,2012-03-18 19:27:17.000,2025-09-06 15:52:57,17,161.0,58.0,1447.0,command line options parsing for Scala.,False,1.0,,"['scala3', 'scalajs']",,,,,,,,,
48,scalapb,scalapb/scalapb,data,https://github.com/scalapb/scalapb,136.0,https://github.com/scalapb/scalapb,Apache-2.0,2014-10-02 01:11:41.000,2026-07-08 20:30:15,17,293.0,61.0,1338.0,Protocol buffer compiler for Scala.,True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
49,enumeratum,lloydmeta/enumeratum,toolkits,https://github.com/lloydmeta/enumeratum,99.0,https://github.com/lloydmeta/enumeratum,MIT,2014-12-05 10:49:34.000,2026-06-13 10:06:10,17,150.0,12.0,1220.0,"A type-safe, reflection-free, powerful enumeration implementation for Scala with exhaustive pattern match warnings and..",True,2.0,,"['scala3', 'scalajs']",,,,,,,,,
50,scalafix,scalacenter/scalafix,development-cycle,https://github.com/scalacenter/scalafix,123.0,https://github.com/scalacenter/scalafix,BSD-3-Clause,2016-08-08 11:45:19.000,2026-07-11 10:05:57,17,197.0,82.0,874.0,Refactoring and linting tool for Scala.,True,2.0,,['scalajs'],,,,,,,,,
51,jsoniter-scala,plokhotnyuk/jsoniter-scala,json,https://github.com/plokhotnyuk/jsoniter-scala,34.0,https://github.com/plokhotnyuk/jsoniter-scala,MIT,2017-09-26 14:47:09.000,2026-07-15 04:12:01,17,114.0,99.0,818.0,Scala macros for compile-time generation of safe and ultra-fast JSON codecs + circe booster.,True,1.0,,"['scala3', 'scalajs']",1.0,1.0,,,,,,,
52,jackson-module-scala,FasterXML/jackson-module-scala,json,https://github.com/FasterXML/jackson-module-scala,59.0,https://github.com/FasterXML/jackson-module-scala,Apache-2.0,2010-11-29 23:01:08.000,2026-07-10 19:46:19,17,139.0,56.0,508.0,Add-on module for Jackson (https://github.com/FasterXML/jackson) to support Scala-specific datatypes.,True,1.0,,['scala3'],,,,,,,,,
53,reboot,dispatch/reboot,http,https://github.com/dispatch/reboot,38.0,https://github.com/dispatch/reboot,LGPL-3.0,2011-12-11 22:33:52.000,2024-08-25 03:41:28,17,103.0,5.0,428.0,Scala wrapper for the Java AsyncHttpClient.,False,2.0,,,,,,,,,,,
54,play-json,playframework/play-json,json,https://github.com/playframework/play-json,71.0,https://github.com/playframework/play-json,Apache-2.0,2016-12-06 03:45:35.000,2026-04-23 20:42:16,17,140.0,54.0,372.0,The Play JSON library.,True,1.0,,"['scala3', 'scalajs', 'play']",,,,,,,,,
55,zeppelin,apache/zeppelin,sci,https://github.com/apache/zeppelin,591.0,https://github.com/apache/zeppelin,Apache-2.0,2015-03-25 07:00:06.000,2025-08-02 13:05:06,16,2830.0,206.0,6535.0,"Web-based notebook that enables data-driven, interactive data analytics and collaborative documents with SQL, Scala..",True,2.0,,,,,,,,,,,
56,smile,haifengl/smile,sci,https://github.com/haifengl/smile,77.0,https://github.com/haifengl/smile,,2014-11-20 16:28:12.000,2026-07-23 01:41:17,16,1149.0,,6405.0,Statistical Machine Intelligence & Learning Engine.,False,2.0,,['scala3'],24.0,24.0,,,,,,,
57,finatra,twitter/finatra,web-frameworks,https://github.com/twitter/finatra,260.0,https://github.com/twitter/finatra,Apache-2.0,2012-02-16 23:55:29.000,2025-08-18 21:11:27,16,403.0,21.0,2271.0,"Fast, testable, Scala services built on TwitterServer and Finagle.",True,2.0,,,,,,,,,,,
58,refined,fthomas/refined,toolkits,https://github.com/fthomas/refined,79.0,https://github.com/fthomas/refined,MIT,2015-05-10 16:23:16.000,2026-07-02 17:06:33,16,152.0,76.0,1730.0,Refinement types for Scala.,True,2.0,,"['scala3', 'scalajs']",,,,,,,,,
59,scalikejdbc,scalikejdbc/scalikejdbc,db-clients,https://github.com/scalikejdbc/scalikejdbc,120.0,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36.000,2025-09-22 08:00:17,16,230.0,34.0,1274.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,True,1.0,org.scalikejdbc:scalikejdbc_2.13,['scala3'],27.0,,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,2025-08-16 13:19:16,2025-08-16 13:19:16,4.3.5,18.0,27.0,
60,scala-logging,lightbend-labs/scala-logging,logging,https://github.com/lightbend-labs/scala-logging,46.0,https://github.com/lightbend-labs/scala-logging,Apache-2.0,2013-07-16 20:24:15.000,2026-01-06 08:16:03,16,130.0,26.0,924.0,Convenient and performant logging library for Scala wrapping SLF4J.,True,1.0,,['scala3'],,,,,,,,,
61,nussknacker,touk/nussknacker,bigdata,https://github.com/touk/nussknacker,91.0,https://github.com/touk/nussknacker,Apache-2.0,2017-06-29 14:09:57.000,2026-03-18 21:35:04,16,103.0,75.0,712.0,Low-code tool for automating actions on real time data | Stream processing for the users.,True,2.0,,,,,,,,,,,
62,scala-parser-combinators,scala/scala-parser-combinators,parsers,https://github.com/scala/scala-parser-combinators,72.0,https://github.com/scala/scala-parser-combinators,Apache-2.0,2013-08-15 18:35:18.000,2025-08-12 20:09:42,16,131.0,24.0,668.0,"simple combinator-based parsing for Scala. formerly part of the Scala standard library, now a separate community-..",True,2.0,,"['scala3', 'scalajs']",,,,,,,,,
63,chill,twitter/chill,data,https://github.com/twitter/chill,68.0,https://github.com/twitter/chill,Apache-2.0,2012-10-15 22:01:08.000,2024-08-19 21:32:21,16,154.0,75.0,615.0,Scala extensions for the Kryo serialization library.,False,2.0,,,,,,,,,,,
64,scalate,scalate/scalate,templating,https://github.com/scalate/scalate,75.0,https://github.com/scalate/scalate,Apache-2.0,2010-01-27 15:53:18.000,2026-05-18 22:52:29,16,103.0,40.0,611.0,"Scalate is a Scala based template engine which supports HAML, Mustache and JSP, Erb and Velocity style syntaxes.",True,1.0,,,,,,,,,,,
65,twirl,playframework/twirl,templating,https://github.com/playframework/twirl,57.0,https://github.com/playframework/twirl,Apache-2.0,2013-09-22 22:48:40.000,2026-04-23 20:42:30,16,116.0,29.0,560.0,Twirl is Plays default template engine.,True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
66,argonaut,argonaut-io/argonaut,json,https://github.com/argonaut-io/argonaut,66.0,https://github.com/argonaut-io/argonaut,BSD-3-Clause,2012-12-09 12:11:48.000,2026-06-21 02:36:40,16,107.0,27.0,544.0,Purely functional JSON parser and library in scala.,True,2.0,io.argonaut:argonaut_2.13,"['scala3', 'scalajs']",50.0,,https://search.maven.org/artifact/io.argonaut/argonaut_2.13,2024-06-01 22:47:08,2024-06-01 22:47:08,6.3.10,17.0,50.0,
67,utest,com-lihaoyi/utest,test,https://github.com/com-lihaoyi/utest,57.0,https://github.com/com-lihaoyi/utest,MIT,2014-01-27 03:12:39.000,2026-01-22 23:21:51,16,86.0,17.0,508.0,A simple testing framework for Scala.,True,2.0,,"['scala3', 'scalajs']",,,,,,,,,
68,jawn,typelevel/jawn,json,https://github.com/typelevel/jawn,55.0,https://github.com/typelevel/jawn,,2012-10-01 02:04:45.000,2026-07-17 15:21:30,16,72.0,16.0,436.0,Jawn is for parsing jay-sawn (JSON).,False,2.0,,"['scala3', 'scalajs']",,,,,,,,,
69,zio-json,zio/zio-json,json,https://github.com/zio/zio-json,75.0,https://github.com/zio/zio-json,Apache-2.0,2020-07-03 16:46:04.000,2026-05-08 03:46:37,16,162.0,74.0,433.0,"Fast, secure JSON library with tight ZIO integration.",True,2.0,,"['zio', 'scala3', 'scalajs']",,,,,,,,,
70,mockito-scala,mockito/mockito-scala,test,https://github.com/mockito/mockito-scala,34.0,https://github.com/mockito/mockito-scala,MIT,2018-06-23 16:45:29.000,2026-07-17 20:23:27,16,59.0,28.0,366.0,Mockito for Scala language.,True,2.0,,,,,,,,,,,
71,pprint,com-lihaoyi/pprint,others,https://github.com/com-lihaoyi/pprint,22.0,https://github.com/com-lihaoyi/pprint,MIT,2017-05-12 09:10:20.000,2025-12-04 03:31:02,16,41.0,19.0,248.0,"Pretty-printing value, types and type-signatures in Scala.",True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
72,play-ws,playframework/play-ws,http,https://github.com/playframework/play-ws,51.0,https://github.com/playframework/play-ws,Apache-2.0,2016-12-07 23:00:14.000,2026-07-09 21:56:20,16,92.0,80.0,224.0,"Standalone Play WS, an async HTTP client with fluent API.",True,2.0,,"['scala3', 'play']",,,,,,,,,
73,Snowplow,snowplow/snowplow,sci,https://github.com/snowplow/snowplow,108.0,https://github.com/snowplow/snowplow,Apache-2.0,2012-03-01 13:02:21.000,2025-06-04 15:51:26,15,1194.0,59.0,6947.0,The leader in Customer Data Infrastructure.,True,2.0,,,24.0,24.0,,,,,,,
74,lagom,lagom/lagom,distributed,https://github.com/lagom/lagom,149.0,https://github.com/lagom/lagom,Apache-2.0,2016-02-23 01:51:06.000,2023-08-14 13:43:48,15,634.0,455.0,2633.0,Reactive Microservices for the JVM.,False,2.0,,,,,,,,,,,
75,sangria,sangria-graphql/sangria,others,https://github.com/sangria-graphql/sangria,72.0,https://github.com/sangria-graphql/sangria,Apache-2.0,2015-07-05 21:29:30.000,2026-07-14 10:19:43,15,219.0,65.0,1961.0,Scala GraphQL implementation.,True,1.0,,['scala3'],,,,,,,,,
76,skunk,typelevel/skunk,db-clients,https://github.com/typelevel/skunk,104.0,https://github.com/typelevel/skunk,MIT,2018-09-21 06:46:41.000,2026-07-17 12:46:38,15,176.0,91.0,1664.0,A data access library for Scala + Postgres.,True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
77,spark-testing-base,holdenk/spark-testing-base,test,https://github.com/holdenk/spark-testing-base,61.0,https://github.com/holdenk/spark-testing-base,Apache-2.0,2015-01-30 22:23:59.000,2025-10-27 02:07:55,15,355.0,84.0,1544.0,Base classes to use when writing tests with Spark.,True,3.0,,,45.0,45.0,,,,,,,
78,geotrellis,locationtech/geotrellis,others,https://github.com/locationtech/geotrellis,96.0,https://github.com/locationtech/geotrellis,,2011-12-23 14:56:54.000,2026-07-09 07:52:25,15,361.0,248.0,1371.0,GeoTrellis is a geographic data processing engine for high performance applications.,False,1.0,,,,,,,,,,,
79,chimney,scalalandio/chimney,toolkits,https://github.com/scalalandio/chimney,49.0,https://github.com/scalalandio/chimney,Apache-2.0,2017-05-23 11:24:09.000,2026-07-20 03:20:37,15,112.0,13.0,1254.0,"Scala library for boilerplate-free, type-safe data transformations.",True,2.0,,"['scala3', 'scalajs']",,,,,,,,,
80,scrimage,sksamuel/scrimage,media,https://github.com/sksamuel/scrimage,65.0,https://github.com/sksamuel/scrimage,Apache-2.0,2013-06-03 16:40:25.000,2026-07-15 02:43:42,15,146.0,74.0,1185.0,"JVM - Java, Kotlin, Scala image processing library.",True,1.0,,,,,,,,,,,
81,wartremover,wartremover/wartremover,development-cycle,https://github.com/wartremover/wartremover,94.0,https://github.com/wartremover/wartremover,Apache-2.0,2013-01-05 11:29:26.000,2026-07-04 23:53:26,15,116.0,101.0,1105.0,Flexible Scala code linting tool.,True,2.0,,['scala3'],,,,,,,,,
82,tinylog,tinylog-org/tinylog,logging,https://github.com/tinylog-org/tinylog,23.0,https://github.com/tinylog-org/tinylog,Apache-2.0,2012-09-13 11:21:42.000,2026-04-13 18:50:15,15,85.0,34.0,769.0,"tinylog is a lightweight logging framework for Java, Kotlin, Scala, and Android.",True,2.0,,,1834.0,1834.0,,,,,,,
83,decline,bkirwi/decline,others,https://github.com/bkirwi/decline,38.0,https://github.com/bkirwi/decline,Apache-2.0,2016-10-23 00:30:19.000,2026-04-08 03:57:53,15,75.0,27.0,676.0,A composable command-line parser for Scala.,True,1.0,,"['scala3', 'scalajs']",,,,,,,,,
84,testcontainers-scala,testcontainers/testcontainers-scala,test,https://github.com/testcontainers/testcontainers-scala,92.0,https://github.com/testcontainers/testcontainers-scala,MIT,2017-01-16 08:12:30.000,2025-12-23 02:34:33,15,135.0,73.0,666.0,Docker containers for testing in scala.,True,3.0,,['scala3'],,,,,,,,,
85,eff,atnos-org/eff,toolkits,https://github.com/atnos-org/eff,43.0,https://github.com/atnos-org/eff,MIT,2016-01-04 22:34:26.000,2025-04-29 21:15:58,15,79.0,3.0,588.0,Eff monad for cats - https://atnos-org.github.io/eff.,True,2.0,,"['scala3', 'scalajs']",,,,,,,,,
86,scapegoat,scapegoat-scala/scapegoat,development-cycle,https://github.com/scapegoat-scala/scapegoat,70.0,https://github.com/scapegoat-scala/scapegoat,Apache-2.0,2013-11-21 17:45:58.000,2026-06-18 15:01:32,15,96.0,47.0,556.0,Scala compiler plugin for static code analysis.,True,2.0,,,,,,,,,,,
