,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,new_addition,dependent_project_count,github_dependent_project_count,updated_github_id,trending,labels
65,quill,zio/zio-quill,db-clients,https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2023-03-24 15:35:00,2023-01-22 17:15:20,3340,1.0,335.0,69,1706.0,305.0,705.0,2112,,,,Compile-time Language Integrated Queries for Scala.,134.0,18,True,2,,,,,,,,,,['zio']
66,async,scala/async,toolkits,https://github.com/scala/scala-async,https://github.com/scala/scala-async,Apache-2.0,2013-04-01 22:22:27,2023-02-16 05:38:23,2023-02-16 05:38:23,737,4.0,82.0,57,227.0,13.0,75.0,1137,2021-09-09 21:50:20,1.0.1,21.0,An asynchronous programming facility for Scala.,28.0,18,True,2,,,,,,,,scala/scala-async,,
67,quicklens,adamw/quicklens,toolkits,https://github.com/softwaremill/quicklens,https://github.com/softwaremill/quicklens,Apache-2.0,2015-02-28 12:32:34,2023-03-29 00:14:11,2023-03-29 00:13:35,391,16.0,46.0,46,111.0,20.0,22.0,759,2022-09-11 18:53:11,1.9.0,21.0,Modify deeply nested case class fields.,24.0,18,True,2,,,,,,,,softwaremill/quicklens,,
68,sbt-docker,marcuslonnberg/sbt-docker,sbt,https://github.com/marcuslonnberg/sbt-docker,https://github.com/marcuslonnberg/sbt-docker,MIT,2014-01-12 19:43:03,2023-03-06 13:38:47,2023-03-06 13:38:43,374,13.0,101.0,19,44.0,18.0,69.0,724,2023-03-06 13:38:15,1.10.0,8.0,Create Docker images directly from sbt.,26.0,18,True,2,,,,,,,,,,
69,sbt-release,sbt/sbt-release,sbt,https://github.com/sbt/sbt-release,https://github.com/sbt/sbt-release,Apache-2.0,2011-10-15 19:00:45,2023-03-27 23:46:59,2023-03-27 23:46:58,508,9.0,155.0,28,198.0,71.0,98.0,623,2021-06-24 14:27:49,1.1.0,4.0,A release plugin for sbt.,64.0,18,True,2,,,,,,,,,-1.0,
70,jackson-module-scala,FasterXML/jackson-module-scala,json,https://github.com/FasterXML/jackson-module-scala,https://github.com/FasterXML/jackson-module-scala,Apache-2.0,2010-11-29 23:01:08,2023-04-05 10:24:47,2023-04-05 10:24:04,1648,32.0,135.0,27,181.0,45.0,403.0,484,,,1.0,Add-on module for Jackson (https://github.com/FasterXML/jackson) to support Scala-specific datatypes.,58.0,18,True,3,,,,,,,,,,
71,scalamock,paulbutcher/scalamock,test,https://github.com/paulbutcher/ScalaMock,https://github.com/paulbutcher/ScalaMock,MIT,2011-10-24 21:32:02,2023-03-10 17:55:50,2023-01-29 07:53:41,786,3.0,87.0,21,254.0,22.0,195.0,481,2021-12-25 20:07:28,5.2.0,13.0,Native Scala mocking framework.,33.0,18,True,3,,,,,True,,,,,
72,laika,planet42/Laika,csv-yaml,https://github.com/planet42/Laika,https://github.com/planet42/Laika,Apache-2.0,2012-12-22 14:53:32,2023-04-05 18:28:10,2023-04-01 20:40:50,3546,27.0,39.0,11,158.0,12.0,195.0,365,2022-10-09 16:42:51,0.19.0,26.0,"Text Markup Transformer for sbt and Scala applications, transforming Markdown and reStructuredText to HTML, EPUB and..",16.0,18,True,1,,,,,,,,,,
73,munit,scalameta/munit,test,https://github.com/scalameta/munit,https://github.com/scalameta/munit,Apache-2.0,2020-01-03 00:01:20,2023-04-05 12:31:20,2023-04-05 12:26:43,877,26.0,68.0,15,519.0,33.0,91.0,361,2022-11-18 02:10:05,1.0.0-M7,39.0,Scala testing library with actionable errors and extensible APIs.,43.0,18,True,3,,,,,True,,,,,
74,sbt-sonatype,xerial/sbt-sonatype,sbt,https://github.com/xerial/sbt-sonatype,https://github.com/xerial/sbt-sonatype,Apache-2.0,2014-01-20 16:13:49,2023-03-28 20:11:02,2023-03-11 18:16:29,647,16.0,49.0,14,288.0,9.0,85.0,308,2023-03-09 22:19:35,3.9.18,5.0,A sbt plugin for publishing Scala/Java projects to the Maven central.,28.0,18,True,2,,,,,,,,,,
75,each,ThoughtWorksInc/each,toolkits,https://github.com/ThoughtWorksInc/each,https://github.com/ThoughtWorksInc/each,Apache-2.0,2015-05-05 07:27:00,2023-03-28 20:19:36,2023-02-03 06:45:06,739,40.0,26.0,30,109.0,4.0,28.0,252,2023-02-03 06:24:22,3.3.2,3.0,A macro library that converts native imperative syntax to scalazs monadic expressions.,15.0,18,True,2,,,,,,,,,,
76,scalismo,unibas-gravis/scalismo,media,https://github.com/unibas-gravis/scalismo,https://github.com/unibas-gravis/scalismo,Apache-2.0,2015-02-13 13:58:38,2023-03-26 07:36:30,2023-03-26 07:26:24,1818,16.0,61.0,19,332.0,13.0,59.0,226,2022-05-12 15:21:04,0.91.0,6.0,Scalable Image Analysis and Shape Modelling.,22.0,18,True,2,,,,,True,,,,,
77,pulsar4s,CleverCloud/pulsar4s,db-clients,https://github.com/CleverCloud/pulsar4s,https://github.com/CleverCloud/pulsar4s,Apache-2.0,2018-01-04 06:29:12,2023-03-30 23:33:06,2023-01-08 02:27:21,711,11.0,39.0,12,451.0,19.0,40.0,215,2023-01-08 02:29:27,2.9.0,5.0,"Idiomatic, typesafe, and reactive Scala client for Apache Pulsar.",23.0,18,True,2,,,,,,,,,,
78,zio-redis,zio/zio-redis,db-clients,https://github.com/zio/zio-redis,https://github.com/zio/zio-redis,Apache-2.0,2020-01-07 16:12:24,2023-04-05 13:57:16,2023-04-04 12:20:55,528,69.0,55.0,15,689.0,14.0,100.0,97,2023-03-28 12:22:41,0.2.0,2.0,A ZIO-based redis client.,34.0,18,True,2,,,,,,,,,,['zio']
79,enumeratum,lloydmeta/enumeratum,toolkits,https://github.com/lloydmeta/enumeratum,https://github.com/lloydmeta/enumeratum,MIT,2014-12-05 10:49:34,2023-03-25 04:13:11,2023-03-25 04:12:35,537,2.0,138.0,26,245.0,23.0,93.0,1146,2023-03-25 04:13:54,enumeratum-slick-1.7.3,70.0,"A type-safe, reflection-free, powerful enumeration implementation for Scala with exhaustive pattern match warnings and..",86.0,17,True,3,,,,,,,,,,
80,cassovary,twitter/cassovary,toolkits,https://github.com/twitter/cassovary,https://github.com/twitter/cassovary,Apache-2.0,2012-02-21 23:22:30,2021-10-08 21:22:29,2021-10-08 21:22:23,503,,143.0,163,155.0,29.0,48.0,1027,2015-03-18 21:37:14,5.1.0,5.0,Cassovary is a simple big graph processing library for the JVM.,30.0,17,True,3,,,,,,,,,,
81,Scala-Logging,lightbend/Scala-Logging,toolkits,https://github.com/lightbend-labs/scala-logging,https://github.com/lightbend-labs/scala-logging,Apache-2.0,2013-07-16 20:24:15,2023-03-24 16:36:53,2023-01-31 19:25:37,321,3.0,128.0,28,268.0,26.0,95.0,888,2021-07-12 14:31:00,3.9.4,5.0,Convenient and performant logging library for Scala wrapping SLF4J.,45.0,17,True,3,,,,,,,,lightbend-labs/scala-logging,,
82,sbt-jmh,sbt/sbt-jmh,sbt,https://github.com/sbt/sbt-jmh,https://github.com/sbt/sbt-jmh,Apache-2.0,2014-05-19 18:39:03,2023-02-27 08:27:57,2023-02-27 08:27:57,277,5.0,85.0,28,123.0,27.0,68.0,754,2021-05-13 02:58:31,0.4.2,4.0,"Trust no one, bench everything. - sbt plugin for JMH (Java Microbenchmark Harness).",47.0,17,True,2,,,,,,,,,,
83,sbt-updates,rtimush/sbt-updates,sbt,https://github.com/rtimush/sbt-updates,https://github.com/rtimush/sbt-updates,BSD-3-Clause,2012-10-07 17:20:50,2023-03-30 22:03:43,2023-03-10 19:15:21,582,6.0,50.0,22,270.0,11.0,66.0,726,2022-05-30 08:03:01,0.6.3,24.0,sbt plugin that can check Maven and Ivy repositories for dependency updates.,29.0,17,True,2,,,,,,,,,,
84,sbt-eclipse,sbt/sbt-eclipse,sbt,https://github.com/sbt/sbt-eclipse,https://github.com/sbt/sbt-eclipse,Apache-2.0,2011-06-04 00:39:57,2023-01-09 22:19:00,2023-01-08 13:29:47,398,2.0,168.0,50,135.0,77.0,202.0,721,2022-09-23 14:15:14,6.0.0,2.0,Plugin for sbt to create Eclipse project definitions.,39.0,17,True,2,,,,,,,,,,
85,unfiltered,unfiltered/unfiltered,web-frameworks,https://github.com/unfiltered/unfiltered,https://github.com/unfiltered/unfiltered,MIT,2010-05-19 04:00:57,2023-04-03 18:12:04,2023-04-03 18:12:02,2800,17.0,106.0,26,824.0,41.0,146.0,707,,,,A toolkit for servicing HTTP requests in Scala.,87.0,17,True,3,,,,,,,,,,
86,freestyle,frees-io/freestyle,toolkits,https://github.com/frees-io/freestyle,https://github.com/frees-io/freestyle,Apache-2.0,2016-10-19 22:31:44,2019-08-13 06:52:17,2019-08-13 06:52:16,526,,51.0,44,321.0,35.0,211.0,615,2018-06-07 10:17:38,0.8.2,24.0,A cohesive & pragmatic framework of FP centric Scala libraries.,43.0,17,False,3,,,,,,,,,,
87,squeryl,squeryl/squeryl,db-clients,https://github.com/squeryl/squeryl,https://github.com/squeryl/squeryl,Apache-2.0,2010-01-30 16:07:07,2023-03-30 22:08:57,2023-03-30 22:08:56,1057,56.0,129.0,29,301.0,23.0,112.0,577,,,,A Scala DSL for talking with databases with minimum verbosity and maximum type safety.,60.0,17,True,2,,,,,,,,,,
88,korolev,fomkin/korolev,web-frameworks,https://github.com/fomkin/korolev,https://github.com/fomkin/korolev,Apache-2.0,2016-08-10 16:19:56,2023-01-23 17:30:58,2023-01-23 08:26:20,663,3.0,48.0,21,219.0,12.0,222.0,575,2022-08-16 08:04:00,1.5.0,35.0,Single Page Applications running on the server side.,25.0,17,True,3,,,,,,,,,,
89,eff,atnos-org/eff,toolkits,https://github.com/atnos-org/eff,https://github.com/atnos-org/eff,MIT,2016-01-04 22:34:26,2023-03-27 22:50:38,2023-03-27 22:50:29,1072,19.0,78.0,20,534.0,2.0,63.0,548,2022-10-30 11:34:41,6.0.2,70.0,Eff monad for cats - https://atnos-org.github.io/eff.,37.0,17,True,3,,,,,,,,,,
90,argonaut,argonaut-io/argonaut,json,https://github.com/argonaut-io/argonaut,https://github.com/argonaut-io/argonaut,,2012-12-09 12:11:48,2023-04-03 05:54:26,2023-04-03 05:54:24,1585,22.0,95.0,26,518.0,27.0,168.0,540,2017-12-29 16:29:13,6.2.1,1.0,Purely functional JSON parser and library in scala.,59.0,17,False,3,,,io.argonaut:argonaut_2.13,https://search.maven.org/artifact/io.argonaut/argonaut_2.13,,,,,,
91,sbt-buildinfo,sbt/sbt-buildinfo,sbt,https://github.com/sbt/sbt-buildinfo,https://github.com/sbt/sbt-buildinfo,MIT,2012-03-03 14:47:30,2023-02-02 14:46:15,2022-02-17 17:07:26,311,,85.0,22,92.0,15.0,86.0,535,2022-02-17 05:57:05,0.11.0,5.0,I know this because build.sbt knows this.,47.0,17,True,2,,,,,,,,,,
92,xitrum,xitrum-framework/xitrum,web-frameworks,https://github.com/xitrum-framework/xitrum,https://github.com/xitrum-framework/xitrum,MIT,2010-07-19 22:58:50,2023-02-28 06:06:49,2023-02-28 06:06:46,2082,3.0,51.0,38,36.0,56.0,600.0,448,,,,Async and clustered Scala web framework and HTTP(S) server.,31.0,17,True,3,,,,,,,,,,
93,jawn,typelevel/jawn,json,https://github.com/typelevel/jawn,https://github.com/typelevel/jawn,,2012-10-01 02:04:45,2023-03-28 20:20:05,2023-03-22 21:00:22,1159,25.0,66.0,21,454.0,12.0,55.0,423,2022-07-05 19:18:25,1.4.0,20.0,Jawn is for parsing jay-sawn (JSON).,45.0,17,False,3,,,,,,,,,,
94,weaver-test,disneystreaming/weaver-test,test,https://github.com/disneystreaming/weaver-test,https://github.com/disneystreaming/weaver-test,,2020-04-24 17:21:55,2023-04-01 14:19:39,2023-02-07 14:31:09,634,23.0,43.0,8,546.0,25.0,66.0,360,2023-03-24 08:11:57,0.8.2,35.0,A test framework that runs everything in parallel.,36.0,17,False,3,2308.0,67.0,,,True,,,,,
95,scala-guice,codingwell/scala-guice,di,https://github.com/codingwell/scala-guice,https://github.com/codingwell/scala-guice,Apache-2.0,2012-03-17 06:02:25,2023-03-12 18:09:41,2023-03-12 18:00:04,272,9.0,45.0,14,44.0,11.0,49.0,339,2023-03-12 18:12:58,5.1.1,8.0,Scala extensions for Google Guice.,26.0,17,True,2,,,,,True,,,,,
96,sbt-ci-release,sbt/sbt-ci-release,sbt,https://github.com/sbt/sbt-ci-release,https://github.com/sbt/sbt-ci-release,Apache-2.0,2018-06-10 21:45:29,2023-03-13 00:41:39,2023-03-13 00:41:39,423,17.0,59.0,11,194.0,1.0,67.0,254,2022-10-20 17:29:22,1.5.11,23.0,sbt plugin to automate Sonatype releases from GitHub Actions.,52.0,17,True,2,,,,,,,,,,
97,sbt-dependency-check,albuch/sbt-dependency-check,sbt,https://github.com/albuch/sbt-dependency-check,https://github.com/albuch/sbt-dependency-check,Apache-2.0,2016-01-12 09:14:44,2023-04-03 12:52:52,2023-03-20 19:46:46,620,28.0,33.0,11,222.0,1.0,79.0,244,2023-03-05 11:31:58,5.1.0,46.0,SBT Plugin for OWASP DependencyCheck. Monitor your dependencies and report if there are any publicly known..,18.0,17,True,2,,,,,,,,,,
98,anorm,playframework/anorm,db-clients,https://github.com/playframework/anorm,https://github.com/playframework/anorm,Apache-2.0,2014-12-05 03:05:14,2023-04-03 17:06:15,2023-03-18 21:35:07,694,15.0,68.0,17,479.0,5.0,59.0,226,2022-09-29 14:17:35,2.7.0,3.0,The Anorm database library.,54.0,17,True,2,,,,,,,,,,['play']
99,sbt-scalafmt,scalameta/sbt-scalafmt,sbt,https://github.com/scalameta/sbt-scalafmt,https://github.com/scalameta/sbt-scalafmt,Apache-2.0,2018-06-10 21:10:13,2023-03-31 06:24:47,2023-03-31 06:24:41,243,4.0,35.0,7,194.0,4.0,56.0,156,2022-11-14 19:51:16,2.5.0,23.0,sbt plugin for Scalafmt.,27.0,17,True,2,,,,,,,,,,
100,neotypes,neotypes/neotypes,db-clients,https://github.com/neotypes/neotypes,https://github.com/neotypes/neotypes,MIT,2018-11-11 19:33:08,2023-04-01 20:14:59,2023-04-01 20:14:59,954,32.0,31.0,6,557.0,13.0,45.0,152,2023-01-24 18:43:27,0.23.2,13.0,"Scala lightweight, type-safe, asynchronous driver for neo4j.",14.0,17,True,2,,,,,,,,,,
101,couchbase-jvm-clients,couchbase/couchbase-jvm-clients,db-clients,https://github.com/couchbase/couchbase-jvm-clients,https://github.com/couchbase/couchbase-jvm-clients,Apache-2.0,2018-10-01 16:44:58,2023-04-04 16:22:56,2023-04-04 16:22:54,2300,162.0,32.0,10,22.0,,,36,,,,"The Couchbase Monorepo for JVM Clients: Java, Scala, io-core.",18.0,17,True,2,,,,,,138.0,138.0,,,
102,nscala-time,nscala-time/nscala-time,toolkits,https://github.com/nscala-time/nscala-time,https://github.com/nscala-time/nscala-time,Apache-2.0,2012-12-06 09:39:55,2023-03-31 03:44:44,2023-03-31 03:44:43,624,14.0,81.0,27,226.0,6.0,49.0,871,,,,A new Scala wrapper for Joda Time based on scala-time.,23.0,16,True,3,,,,,,,,,,
103,rediscala,etaty/rediscala,db-clients,https://github.com/etaty/rediscala,https://github.com/etaty/rediscala,Apache-2.0,2013-04-15 13:49:16,2021-06-06 04:14:22,2019-10-17 08:36:11,414,,134.0,39,98.0,67.0,83.0,796,2019-06-23 15:29:14,1.9.0,13.0,"Non-blocking, Reactive Redis driver for Scala (with Sentinel support).",31.0,16,False,2,,,,,,,,,,
104,cask,com-lihaoyi/cask,web-frameworks,https://github.com/com-lihaoyi/cask,https://github.com/com-lihaoyi/cask,,2018-07-20 00:48:20,2023-04-04 05:18:22,2023-04-04 05:10:54,294,9.0,45.0,11,45.0,6.0,34.0,440,2023-04-04 05:06:56,0.9.1,77.0,Cask: a Scala HTTP micro-framework.,14.0,16,False,3,18472.0,329.0,,,,,,,,
105,xsbt-web-plugin,earldouglas/xsbt-web-plugin,sbt,https://github.com/earldouglas/xsbt-web-plugin,https://github.com/earldouglas/xsbt-web-plugin,BSD-3-Clause,2011-04-24 10:27:46,2023-03-25 13:03:25,2023-03-25 13:03:24,954,32.0,98.0,18,502.0,12.0,246.0,385,,,,Servlet support for sbt.,33.0,16,True,3,,,,,,,,,,
106,sbt-git,sbt/sbt-git,sbt,https://github.com/sbt/sbt-git,https://github.com/sbt/sbt-git,BSD-2-Clause,2011-10-26 18:18:57,2022-12-05 16:20:46,2022-11-22 08:24:38,313,,97.0,16,125.0,26.0,81.0,338,2022-12-05 16:20:46,2.0.1,7.0,A git plugin for sbt.,50.0,16,True,3,,,,,,,,,,
107,mockito-scala,mockito/mockito-scala,test,https://github.com/mockito/mockito-scala,https://github.com/mockito/mockito-scala,MIT,2018-06-23 16:45:29,2023-04-01 17:47:51,2023-03-20 21:45:23,870,1.0,49.0,17,374.0,22.0,96.0,315,2023-03-20 22:05:34,1.17.14,25.0,Mockito for Scala language.,28.0,16,True,3,,,,,True,,,,,
108,youi,outr/youi,web-frameworks,https://github.com/outr/youi,https://github.com/outr/youi,MIT,2012-06-26 14:06:32,2023-04-02 00:38:36,2022-12-07 15:24:18,2690,,27.0,17,246.0,11.0,41.0,207,2019-01-30 18:17:20,0.9.0,12.0,"Next generation user interface and application development in Scala and Scala.js for web, mobile, and desktop.",11.0,16,True,3,,,,,,,,,,
109,sbt-header,sbt/sbt-header,sbt,https://github.com/sbt/sbt-header,https://github.com/sbt/sbt-header,Apache-2.0,2015-02-05 16:25:45,2023-01-31 19:04:48,2022-11-15 12:48:59,317,,52.0,11,223.0,11.0,75.0,190,2022-11-15 12:54:43,5.9.0,23.0,"sbt-header is an sbt plugin for creating file headers, e.g. copyright headers.",37.0,16,True,3,,,,,,,,,,
110,sbt-doctest,tkawachi/sbt-doctest,sbt,https://github.com/tkawachi/sbt-doctest,https://github.com/tkawachi/sbt-doctest,MIT,2014-06-10 15:46:12,2023-03-28 04:30:23,2023-03-28 04:30:16,642,33.0,27.0,12,317.0,13.0,47.0,181,2015-12-17 13:37:24,0.3.5,1.0,Doctest for scala.,26.0,16,True,3,,,,,,,,,,
111,scalaj-http,scalaj/scalaj-http,http,https://github.com/scalaj/scalaj-http,https://github.com/scalaj/scalaj-http,Apache-2.0,2010-08-23 20:05:19,2022-04-03 21:19:24,2022-04-03 21:19:24,300,,120.0,44,84.0,28.0,112.0,974,2016-04-02 20:58:24,2.3.0,1.0,Simple scala wrapper for HttpURLConnection. OAuth included.,29.0,15,True,3,,,,,True,,,,,
112,simulacrum,mpilquist/simulacrum,toolkits,https://github.com/typelevel/simulacrum,https://github.com/typelevel/simulacrum,BSD-3-Clause,2015-01-17 03:49:30,2023-01-21 08:35:21,2023-01-21 08:35:21,430,4.0,59.0,35,161.0,28.0,45.0,939,2018-02-20 14:20:53,0.12.0,1.0,First class syntax support for type classes in Scala.,34.0,15,True,3,,,,,,,,typelevel/simulacrum,,
113,requests-scala,lihaoyi/requests-scala,http,https://github.com/com-lihaoyi/requests-scala,https://github.com/com-lihaoyi/requests-scala,,2018-07-19 11:06:17,2023-03-22 14:29:30,2022-12-25 14:15:38,165,,66.0,12,66.0,24.0,37.0,676,2022-12-25 14:57:04,0.8.0,6.0,"A Scala port of the popular Python Requests HTTP client: flexible, intuitive, and straightforward to use.",29.0,15,False,3,,,,,True,,,com-lihaoyi/requests-scala,,
114,testcontainers-scala,testcontainers/testcontainers-scala,test,https://github.com/testcontainers/testcontainers-scala,https://github.com/testcontainers/testcontainers-scala,MIT,2017-01-16 08:12:30,2023-03-25 06:36:36,2023-03-21 20:12:30,640,7.0,109.0,18,150.0,27.0,68.0,574,2019-06-23 16:51:16,0.27.0,1.0,Docker containers for testing in scala.,72.0,15,True,3,,,,,True,,,,,
115,scala-graph,scala-graph/scala-graph,toolkits,https://github.com/scala-graph/scala-graph,https://github.com/scala-graph/scala-graph,Apache-2.0,2013-01-29 16:21:11,2023-03-31 10:36:43,2023-03-29 12:57:18,659,6.0,69.0,30,150.0,8.0,106.0,550,2022-05-28 07:23:56,1.13.5,1.0,Graph for Scala is intended to provide basic graph functionality seamlessly fitting into the Scala Collection Library...,18.0,15,True,3,,,,,,,,,,
116,sbt-pack,xerial/sbt-pack,sbt,https://github.com/xerial/sbt-pack,https://github.com/xerial/sbt-pack,,2012-11-19 06:44:58,2023-03-28 20:10:51,2023-03-13 17:14:06,810,15.0,72.0,14,286.0,28.0,68.0,474,2022-11-24 02:03:25,0.17,12.0,A sbt plugin for creating distributable Scala packages.,36.0,15,False,3,,,,,,,,,,
117,reboot,dispatch/reboot,http,https://github.com/dispatch/reboot,https://github.com/dispatch/reboot,LGPL-3.0,2011-12-11 22:33:52,2023-02-02 15:22:17,2023-02-02 15:22:17,722,1.0,103.0,35,135.0,5.0,97.0,430,2020-01-11 01:05:15,1.2.0,24.0,Scala wrapper for the Java AsyncHttpClient.,38.0,15,True,3,,,,,True,,,,,
118,larray,xerial/larray,toolkits,https://github.com/xerial/larray,https://github.com/xerial/larray,Apache-2.0,2013-03-18 01:19:50,2022-11-30 18:43:55,2022-11-25 09:52:48,465,,40.0,27,26.0,20.0,33.0,395,2016-12-14 04:07:48,0.4.0,3.0,Large off-heap arrays and mmap files for Scala and Java.,11.0,15,True,3,,,,,,,,,,
119,kantan.csv,nrinaudo/kantan.csv,csv-yaml,https://github.com/nrinaudo/kantan.csv,https://github.com/nrinaudo/kantan.csv,Apache-2.0,2015-07-22 06:51:22,2023-02-02 18:41:13,2022-09-06 14:24:02,1028,,33.0,10,177.0,37.0,134.0,342,2019-06-04 07:25:39,0.5.1,12.0,CSV handling library for Scala.,9.0,15,True,2,,,,,,,,,,
120,scala-activerecord,aselab/scala-activerecord,db-clients,https://github.com/aselab/scala-activerecord,https://github.com/aselab/scala-activerecord,MIT,2012-04-10 04:26:31,2021-01-08 00:05:38,2021-01-08 00:05:30,513,,27.0,35,12.0,20.0,62.0,321,2020-10-07 00:17:01,0.6.1,8.0,ActiveRecord-like ORM library for Scala.,9.0,15,False,3,,,,,,,,,,
121,scaldi,scaldi/scaldi,di,https://github.com/scaldi/scaldi,https://github.com/scaldi/scaldi,Apache-2.0,2010-05-17 17:14:02,2023-03-30 23:04:18,2022-06-08 15:18:06,506,,23.0,8,168.0,18.0,49.0,291,2021-07-27 19:27:16,0.6.2,16.0,Lightweight Scala Dependency Injection Library.,13.0,15,True,3,,,,,True,,,,,
122,minitest,monix/minitest,test,https://github.com/monix/minitest,https://github.com/monix/minitest,Apache-2.0,2014-12-16 01:17:08,2023-03-10 17:04:40,2021-11-28 09:54:57,394,,30.0,8,152.0,,10.0,177,2021-05-13 19:30:08,2.9.6,13.0,The super light testing library for Scala and Scala.js.,23.0,15,True,3,,,,,True,,,,,
123,scala-redis,debasishg/scala-redis,db-clients,https://github.com/debasishg/scala-redis,https://github.com/debasishg/scala-redis,,2009-12-31 06:31:15,2023-01-25 21:39:14,2021-12-19 15:12:11,485,,221.0,61,150.0,70.0,82.0,1022,2021-11-02 15:19:32,3.42,11.0,"A scala library for connecting to a redis server, or a cluster of redis nodes using consistent hashing on the client..",72.0,14,False,3,,,,,,,,,,
124,hamsters,scala-hamsters/hamsters,toolkits,https://github.com/scala-hamsters/hamsters,https://github.com/scala-hamsters/hamsters,Apache-2.0,2016-04-18 13:12:24,2020-12-19 17:54:15,2020-02-25 09:53:53,587,,22.0,22,70.0,5.0,61.0,291,,,,A mini Scala utility library.,24.0,14,False,3,,,,,,,,,,
125,chaos,mesosphere/chaos,web-frameworks,https://github.com/mesosphere/chaos,https://github.com/mesosphere/chaos,Apache-2.0,2013-06-25 14:53:40,2019-04-15 12:17:35,2019-04-15 12:17:21,224,,36.0,153,52.0,12.0,15.0,250,2017-04-05 09:50:47,0.8.8,1.0,A lightweight framework for writing REST services in Scala.,20.0,14,False,3,,,,,,,,,,
126,sbt-unidoc,sbt/sbt-unidoc,sbt,https://github.com/sbt/sbt-unidoc,https://github.com/sbt/sbt-unidoc,Apache-2.0,2013-05-16 06:40:23,2023-02-23 00:54:18,2023-02-23 00:53:47,157,2.0,28.0,16,82.0,23.0,34.0,122,2021-10-23 21:22:11,0.5.0,5.0,sbt plugin to create a unified Scaladoc or Javadoc API document across multiple subprojects.,23.0,14,True,3,,,,,,,,,-1.0,
127,laserdisc,laserdisc-io/laserdisc,db-clients,https://github.com/laserdisc-io/laserdisc,https://github.com/laserdisc-io/laserdisc,MIT,2018-06-05 09:07:12,2023-03-30 18:58:26,2023-03-30 18:58:26,629,20.0,14.0,5,695.0,13.0,11.0,90,2022-11-22 23:17:24,0.6.0,21.0,A Future-free Fs2 native pure FP Redis client.,9.0,14,True,3,,,,,,,,,,
128,finagle-postgres,finagle/finagle-postgres,db-clients,https://github.com/finagle/finagle-postgres,https://github.com/finagle/finagle-postgres,Apache-2.0,2015-03-10 16:01:08,2023-04-01 15:30:32,2021-06-02 20:15:58,486,,40.0,10,271.0,13.0,25.0,82,2021-04-23 22:46:03,0.13,16.0,PostgreSQL protocol support for Finagle.,33.0,14,False,3,,,,,,,,,,
129,chronoscala,opt-tech/chronoscala,toolkits,https://github.com/chronoscala/chronoscala,https://github.com/chronoscala/chronoscala,MIT,2016-07-11 17:30:46,2023-03-28 11:37:23,2023-03-28 11:37:19,400,18.0,7.0,48,183.0,2.0,13.0,67,2022-10-06 06:21:17,2.0.8,9.0,A JSR-310 port of nscala_time.,10.0,14,True,3,,,,,,,,chronoscala/chronoscala,,
130,sbt-revolver,spray/sbt-revolver,sbt,https://github.com/spray/sbt-revolver,https://github.com/spray/sbt-revolver,Apache-2.0,2011-12-15 10:04:49,2023-03-08 08:59:55,2023-03-08 08:59:55,164,1.0,54.0,22,30.0,21.0,60.0,818,,,,An SBT plugin for dangerously fast development turnaround in Scala.,16.0,13,True,3,,,,,,,,,,
131,scala-csv,tototoshi/scala-csv,csv-yaml,https://github.com/tototoshi/scala-csv,https://github.com/tototoshi/scala-csv,,2012-03-08 17:02:19,2023-04-03 09:42:43,2023-04-03 09:42:35,456,7.0,136.0,27,189.0,21.0,63.0,668,,,,CSV Reader/Writer for Scala.,34.0,13,False,2,,,,,,,,,,
132,tut,tpolecat/tut,sbt,https://github.com/tpolecat/tut,https://github.com/tpolecat/tut,MIT,2013-10-25 21:41:48,2021-04-12 21:20:42,2021-04-12 21:20:42,454,,60.0,19,150.0,63.0,52.0,585,,,,doc/tutorial generator for scala.,38.0,13,False,3,,,,,,,,,,
133,utest,lihaoyi/utest,test,https://github.com/com-lihaoyi/utest,https://github.com/com-lihaoyi/utest,,2014-01-27 03:12:39,2023-03-28 13:59:59,2023-03-26 19:00:13,684,1.0,76.0,17,154.0,24.0,106.0,466,2022-09-06 22:28:12,0.8.1,8.0,A simple testing framework for Scala.,48.0,13,False,3,,,,,True,,,com-lihaoyi/utest,,
134,splain,tek/splain,sbt,https://github.com/tek/splain,https://github.com/tek/splain,MIT,2016-12-18 00:02:41,2023-02-13 17:02:12,2022-11-07 18:21:25,340,,27.0,11,45.0,8.0,43.0,370,2022-01-31 05:31:17,Release/1.0.0-2.13.8,16.0,better implicit errors for scala.,18.0,13,True,3,64.0,0.0,,,,,,,,
135,scala-clippy,softwaremill/scala-clippy,sbt,https://github.com/softwaremill/scala-clippy,https://github.com/softwaremill/scala-clippy,Apache-2.0,2015-12-19 20:13:21,2019-03-14 17:25:51,2019-03-14 11:17:52,260,,19.0,20,29.0,14.0,22.0,314,2019-03-14 17:25:51,0.6.1,20.0,Good advice for Scala compiler errors.,8.0,13,False,3,,,,,,,,,,
